경로당명,주소,회원수,행정동,경도,위도
대한노인회성환읍분회,충청남도 천안시 서북구 성환읍 성환8길 19,23,성환읍,127.1345949,36.91640242
성환1리,충청남도 천안시 서북구 성환읍 성환14길 13-4,49,성환읍,127.1271697,36.91929329
성환3리(노인건강쉼터),충청남도 천안시 서북구 성환읍 성환시장길 9,35,성환읍,127.1297726,36.91838839
성환4리,충청남도 천안시 서북구 성환읍 성환16길 12,35,성환읍,127.131855,36.92019684
성환5리,충청남도 천안시 서북구 성환읍 성환11길 35-14,74,성환읍,127.1320744,36.91705692
성환6리,충청남도 천안시 서북구 성환읍 성환3로 46,55,성환읍,127.1330395,36.9149107
성환7리,충청남도 천안시 서북구 성환읍 성환4길 35,44,성환읍,127.1291396,36.91467224
성환8리,충청남도 천안시 서북구 성환읍 성환21길 23,72,성환읍,127.1260913,36.91918775
성환9리,충청남도 천안시 서북구 성환읍 성환중앙로 86-1,42,성환읍,127.1343937,36.91946988
성환10리,충청남도 천안시 서북구 성환읍 성환18길 11-45,64,성환읍,127.1305227,36.92592711
성환11리,충청남도 천안시 서북구 성환11길 57-3,53,성환읍,127.1340432,36.91544833
성월1리,충청남도 천안시 서북구 성환읍 성월수향길 14,54,성환읍,127.1361469,36.92021489
성월2리,충청남도 천안시 서북구 성환읍 성월2길 13,59,성환읍,127.1363729,36.9184338
성월3리,충청남도 천안시 서북구 성환읍 성월1길 15-1,30,성환읍,127.1420764,36.91317653
성월4리(현대한솔APT),충청남도 천안시 서북구 성환읍 성월2길 16,47,성환읍,127.1358748,36.9182965
매주1리,충청남도 천안시 서북구 매주2길 80 (매주리 212-4),34,성환읍,127.1308631,36.90155239
매주2리,충청남도 천안시 서북구 성환읍 성환1로 180-9,53,성환읍,127.1289864,36.91107596
매주3리,충청남도 천안시 서북구 성환읍 연암율금로 389,66,성환읍,127.121286,36.90914374
매주4리,충청남도 천안시 서북구 성환읍 연암율금로 435-22,32,성환읍,127.126639,36.91267685
매주4리(골드맨션아파트),충청남도 천안시 서북구 성환읍 성환1로 204 골드맨편아파트 가-208,38,성환읍,127.1290638,36.913295
매주5리(삼풍APT),충청남도 천안시 서북구 성환읍 성환2로 56(관리사무소 옆),59,성환읍,127.13155,36.91208319
매주6리(충효관),충청남도 천안시 서북구 성환읍 상덕매주길 118,28,성환읍,127.123522,36.90134218
"매주7,8리(부영1차아파트)","충청남도 천안시 서북구 성환읍 천안대로 1843, 관리사무소 옆",40,성환읍,127.1353952,36.90281308
매주9리(부영2차아파트),"충청남도 천안시 서북구 성환읍 천안대로 1853, 부영2차아파트 관리사무소 옆",50,성환읍,127.1344118,36.90539971
매주10리(부영3차아파트),"충청남도 천안시 서북구 성환읍 천안대로 1853, 부영3차아파트 관리사무소 옆",20,성환읍,127.1344118,36.90539971
매주11리,"충청남도 천안시 서북구 성환읍 연암율금로 480, 중앙아파트 103호",86,성환읍,127.1307766,36.9113747
매주12리(e편한세상A),충청남도 천안시 서북구 성환읍 성환1로 54-45,23,성환읍,127.1322612,36.90114715
율금1리,충청남도 천안시 서북구 성환읍 율금4길 27,72,성환읍,127.109071,36.89839027
율금2리,충청남도 천안시 서북구 성환읍 율금1길 261,53,성환읍,127.1074714,36.90375921
율금3리(금곡쉼터),충청남도 천안시 서북구 성환읍 율금9길 110-8,31,성환읍,127.1108126,36.90814943
율금4리(두진아파트),충청남도 천안시 서북구 성환읍 율금1길 221-34,34,성환읍,127.0995339,36.90549794
